rep_number,first_name,last_name,party,Har ingen registreringspliktige interesser,Styreverv mv.,Selvstendig næring,Lønnet stilling mv.,Tidligere arbeidsgiver,Framtidig arbeidsgiver,Økonomisk støtte,Eiendom i næring,Aksjer mv.,Utenlandsreiser,Gaver,Opplysninger om selskapsgjeld,Andre forhold,Ingen registrerte opplysninger
89,Ketil,Kjenseth,V,,"Kommunestyremedlem i Gjøvik (godtgjøring pr. møte)
Leder i Gjøvik Frivilligsentral (årlig honorar)
Leder av avviklingsstyret for Stiftelsen Øverby Helsesportsenter (ulønnet)
Styremedlem i Øvre Bråstad Velforening (ulønnet)",,,"Permisjon uten lønn eller andre godtgjørelse fra stilling i
Norsk Vann fram til 1. januar 2018.",,,,,,,,,
139,Ingvild,Kjerkol,A,True,,,,,,,,,,,,,
25,Kari Kjønaas,Kjos,FrP,,Medlem kommunestyret i Lørenskog (godtgjørelse),,Medlem av Stortingets Billighetserstatningsutvalg (godtgjørelse),,,,,,"Deltok på reise til Filippinene 3. - 11. nov. 2007. Reise
og opphold betalt av European Parliamentary Forum on
population and development (EPF).",,,,
68,Jenny,Klinge,Sp,,Leiar i forstandarskapet Surnadal Sparebank(godtgjering),Sporadisk sal av eigne måleri.,,,,,,,,,,,
58,Eigil,Knutsen,A,,"Varastyremedlem i Bergenhus Arbeiderparti, ikke godtgjørelse.",,,,,,,,,,,,
28,Martin,Kolberg,A,True,,,,,,,,,,,,,
20,Turid,Kristensen,H,,,,,"Permisjon fra stilling som program- og ph.d.-konsulent
ved Institutt for musikkvitenskap, Universitetet i Oslo, i
perioden 01.10.17-30.09.21",,,,,,,,,
159,Erlend,Larsen,H,,"Styreleder AS Raadhuset - ulønnet
Styremedlem stiftelsen Sti for øye - ulønnet
Styremedlem Oslofjordens friluftsråd - ulønnet","AS Raadhuset - rådgivning, eneeier
E-forlag - forlag, eneeier","AS Raadhuset, rådgiver (sovende firma)
E-forlag, forlag (aktivt, utgir egne og andres bøker)",,,,,"AS Raadhuset, 100 pst.
E-forlag, 100 pst.",,,,,
161,Stein Erik,Lauvås,A,,"Varamedlem Styret Momarken toto/Momarken travbane
(ulønnet)
Leder Østfold Arbeiderparti (ulønnet )
Varamedlem styret Marker AP (ulønnet )",,Se punkt 2,Ulønnet permisjon fra Handel og Kontor Norge,,,,,,,,,
163,Ulf,Leirstein,Uav,,"Medlem Moss bystyre (godtgjørelse pr. møte).
Medlem Moss Havn KF (godtgjørelse).
Styreleder Storesand feriekoloni (årsgodtgjørelse).","Registrert enkeltpersonsforetaket Rådgivningstjenester
Ulf Leirstein den 9. oktober 2019. Org nr 923580190.
Rådgiving, foredrag, konsulent innen ledelse, politisk
virksomhet, forvaltning og organisasjon. Ingen aktivitet
pr. dato.",,,,,,"Aksjer A/S Momarken Travbane (Eierandel: mindre enn
1%)
Aksjer Global Skipsholdning 2 AS (Eierandel: mindre
enn 1 %)
Aksjer Skandiabanken ASA (Eierandel: mindre enn 1%)
Aksjer SAS AB (Eierandel: mindre enn 1 %)
Aksjer Norwegian Air Shuttle ASA (Eierandel: mindre
enn 1%)",,,,,
152,Kirsti,Leirtrø,A,,"Styreleder Stiftelsen Kystmuseet, Hitra",,,,,,,,,,,,
122,Solfrid,Lerbrekk,SV,,Medlem av yrkesopplæringsnemnda i Rogaland fylkeskommune frem til LO Rogaland har fått ny ungdomssekretær. Vararepresentant møter for meg frem til da.,"Jeg eier av et mindre skogbruk/småbruk i Vennesla
kommune.",,,,,,,,,,,
118,Hege Haukeland,Liadal,A,True,,,,,,,,,,,,,
13,Hans Andreas,Limi,FrP,,"Medlem kommunestyret i Bærum med møtegodtgjørelse.
Styremedlem CAN i Altea, rehabiliteringssenter som eies
av Bærum kommune. Styrehonorar.
Styremedlem og daglig leder i Limi & Limi AS, eget
konsulentselskap.","Limi & Limi AS, konsulentselskap innen eiendomsutvikling og detaljhandel. Største oppdragsgiver i 2012 og
2013 har vært ICA Eiendom Norge AS. Selskapet legges
passivt fom regnskapsåret 2014.",,,,,,Limi & Limi AS,,,,,
